,year,month,Purchase amount,Purchase quantity
0,1990,1,71,31
1,1990,2,84,35
2,1990,3,100,43
3,1990,4,66,29
4,1990,5,54,22
5,1990,6,25,8
6,1990,7,30,8
7,1990,8,62,21
8,1990,9,119,52
9,1990,10,128,57
10,1990,11,102,49
11,1990,12,244,106
12,1991,1,76,36
13,1991,2,89,43
14,1991,3,100,49
15,1991,4,80,39
16,1991,5,61,29
17,1991,6,35,13
18,1991,7,26,7
19,1991,8,63,21
20,1991,9,102,41
21,1991,10,125,53
22,1991,11,108,48
23,1991,12,225,87
24,1992,1,71,29
25,1992,2,90,38
26,1992,3,100,42
27,1992,4,77,33
28,1992,5,57,21
29,1992,6,31,9
30,1992,7,26,7
31,1992,8,56,18
32,1992,9,104,40
33,1992,10,115,52
34,1992,11,99,45
35,1992,12,224,86
36,1993,1,73,29
37,1993,2,87,36
38,1993,3,96,39
39,1993,4,76,31
40,1993,5,54,21
41,1993,6,31,9
42,1993,7,29,8
43,1993,8,46,12
44,1993,9,93,30
45,1993,10,114,40
46,1993,11,98,34
47,1993,12,248,72
48,1994,1,67,22
49,1994,2,77,24
50,1994,3,90,30
51,1994,4,59,22
52,1994,5,39,14
53,1994,6,23,7
54,1994,7,31,9
55,1994,8,79,28
56,1994,9,118,52
57,1994,10,124,60
58,1994,11,104,54
59,1994,12,201,97
60,1995,1,62,34
61,1995,2,79,47
62,1995,3,91,55
63,1995,4,67,40
64,1995,5,54,30
65,1995,6,32,14
66,1995,7,23,7
67,1995,8,52,19
68,1995,9,111,51
69,1995,10,104,56
70,1995,11,90,51
71,1995,12,202,98
72,1996,1,61,31
73,1996,2,81,40
74,1996,3,86,42
75,1996,4,68,33
76,1996,5,52,23
77,1996,6,30,11
78,1996,7,31,9
79,1996,8,63,23
80,1996,9,100,45
81,1996,10,97,46
82,1996,11,89,43
83,1996,12,211,86
84,1997,1,67,29
85,1997,2,76,33
86,1997,3,85,36
87,1997,4,63,27
88,1997,5,49,19
89,1997,6,27,9
90,1997,7,27,8
91,1997,8,47,16
92,1997,9,98,40
93,1997,10,110,48
94,1997,11,89,42
95,1997,12,200,82
96,1998,1,75,32
97,1998,2,83,36
98,1998,3,100,43
99,1998,4,65,27
100,1998,5,53,21
101,1998,6,27,9
102,1998,7,32,10
103,1998,8,61,22
104,1998,9,113,51
105,1998,10,115,54
106,1998,11,96,47
107,1998,12,197,88
108,1999,1,65,31
109,1999,2,72,36
110,1999,3,76,36
111,1999,4,60,28
112,1999,5,41,19
113,1999,6,27,10
114,1999,7,31,9
115,1999,8,57,21
116,1999,9,97,44
117,1999,10,95,50
118,1999,11,79,44
119,1999,12,157,78
120,2000,1,57,32
121,2000,2,73,42
122,2000,3,74,39
123,2000,4,54,29
124,2000,5,39,19
125,2000,6,21,8
126,2000,7,22,7
127,2000,8,51,22
128,2000,9,87,44
129,2000,10,86,48
130,2000,11,79,47
131,2000,12,155,79
132,2001,1,60,32
133,2001,2,66,36
134,2001,3,69,38
135,2001,4,44,26
136,2001,5,35,19
137,2001,6,20,8
138,2001,7,27,9
139,2001,8,55,24
140,2001,9,83,46
141,2001,10,85,51
142,2001,11,78,48
143,2001,12,154,80
144,2002,1,58,36
145,2002,2,64,39
146,2002,3,69,40
147,2002,4,48,29
148,2002,5,42,22
149,2002,6,26,10
150,2002,7,28,11
151,2002,8,54,23
152,2002,9,84,41
153,2002,10,79,46
154,2002,11,74,45
155,2002,12,144,74
156,2003,1,56,34
157,2003,2,64,39
158,2003,3,74,38
159,2003,4,51,30
160,2003,5,43,22
161,2003,6,26,11
162,2003,7,23,8
163,2003,8,39,15
164,2003,9,65,27
165,2003,10,78,42
166,2003,11,68,36
167,2003,12,163,64
168,2004,1,57,26
169,2004,2,65,28
170,2004,3,66,27
171,2004,4,40,18
172,2004,5,29,12
173,2004,6,19,7
174,2004,7,23,7
175,2004,8,39,16
176,2004,9,88,41
177,2004,10,91,45
178,2004,11,81,42
179,2004,12,162,73
180,2005,1,58,29
181,2005,2,68,33
182,2005,3,74,35
183,2005,4,54,28
184,2005,5,40,19
185,2005,6,24,9
186,2005,7,26,10
187,2005,8,48,20
188,2005,9,80,42
189,2005,10,90,51
190,2005,11,81,44
191,2005,12,162,74
192,2006,1,66,35
193,2006,2,69,34
194,2006,3,76,40
195,2006,4,55,27
196,2006,5,41,19
197,2006,6,22,8
198,2006,7,20,6
199,2006,8,40,13
200,2006,9,83,38
201,2006,10,87,46
202,2006,11,83,44
203,2006,12,156,68
204,2007,1,65,32
205,2007,2,68,34
206,2007,3,76,34
207,2007,4,45,23
208,2007,5,35,15
209,2007,6,20,7
210,2007,7,21,6
211,2007,8,42,14
212,2007,9,87,41
213,2007,10,98,48
214,2007,11,87,44
215,2007,12,174,79
216,2008,1,67,30
217,2008,2,78,36
218,2008,3,81,37
219,2008,4,51,23
220,2008,5,39,16
221,2008,6,24,7
222,2008,7,21,8
223,2008,8,55,22
224,2008,9,97,46
225,2008,10,101,50
226,2008,11,95,49
227,2008,12,170,79
228,2009,1,78,39
229,2009,2,83,45
230,2009,3,86,45
231,2009,4,65,35
232,2009,5,44,24
233,2009,6,28,9
234,2009,7,28,9
235,2009,8,52,20
236,2009,9,88,41
237,2009,10,100,57
238,2009,11,92,47
239,2009,12,198,94
240,2010,1,75,38
241,2010,2,78,36
242,2010,3,82,38
243,2010,4,59,26
244,2010,5,43,16
245,2010,6,20,7
246,2010,7,26,7
247,2010,8,50,19
248,2010,9,99,47
249,2010,10,101,50
250,2010,11,100,52
251,2010,12,177,82
252,2011,1,86,41
253,2011,2,87,41
254,2011,3,84,41
255,2011,4,62,31
256,2011,5,48,23
257,2011,6,26,10
258,2011,7,24,8
259,2011,8,60,22
260,2011,9,96,46
261,2011,10,106,54
262,2011,11,91,46
263,2011,12,183,76
264,2012,1,76,34
265,2012,2,83,39
266,2012,3,86,38
267,2012,4,57,24
268,2012,5,41,17
269,2012,6,23,7
270,2012,7,22,7
271,2012,8,50,18
272,2012,9,97,48
273,2012,10,107,53
274,2012,11,96,50
275,2012,12,174,85
276,2013,1,79,39
277,2013,2,85,43
278,2013,3,87,46
279,2013,4,63,35
280,2013,5,50,25
281,2013,6,29,12
282,2013,7,33,12
283,2013,8,58,24
284,2013,9,106,51
285,2013,10,124,64
286,2013,11,127,57
287,2013,12,233,107
288,2014,1,100,46
289,2014,2,92,42
290,2014,3,100,49
291,2014,4,71,31
292,2014,5,45,18
293,2014,6,25,9
294,2014,7,28,9
295,2014,8,68,25
296,2014,9,119,50
297,2014,10,113,57
298,2014,11,104,46
299,2014,12,197,79
300,2015,1,86,38
301,2015,2,92,37
302,2015,3,94,37
303,2015,4,59,21
304,2015,5,39,12
305,2015,6,20,6
306,2015,7,31,8
307,2015,8,68,22
308,2015,9,121,46
309,2015,10,120,51
310,2015,11,106,46
311,2015,12,193,73
312,2016,1,85,34
313,2016,2,103,37
314,2016,3,104,38
315,2016,4,63,21
316,2016,5,45,13
317,2016,6,24,7
318,2016,7,30,8
319,2016,8,71,24
320,2016,9,125,48
321,2016,10,135,53
322,2016,11,123,54
323,2016,12,197,73
324,2017,1,90,33
325,2017,2,103,41
326,2017,3,99,39
327,2017,4,65,26
328,2017,5,47,18
329,2017,6,30,9
330,2017,7,28,9
331,2017,8,71,24
332,2017,9,120,50
333,2017,10,121,54
334,2017,11,130,58
335,2017,12,206,81
